id,label,url,brand,name,price,skin type,concern,image url
556,cleanser,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-set-of-2-facewash---deep-cleansing-apricot--oil-clear-lemon/15063338/buy,himalaya,set of 2 facewash - deep cleansing apricot & oil clear lemon,₹ 207,normal,"acne,blemishes,pigmentation,daily use","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15063338/2021/8/24/6b3293b4-e067-4d78-99e6-566e40fa3eb91629802833395-Himalaya-Unisex-Face-Wash-and-Cleanser-8161629802833223-1.jpg"
557,cleanser,https://www.myntra.com/face-wash-and-cleanser/havintha/havintha-natural-amba-haldi-powder-for-face/15386564/buy,havintha,natural amba haldi powder for face,₹ 299,normal,"lightening,,","https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/15386564/2021/9/7/f89cc569-120c-46c5-9bd7-ce2b9b88c1ce1630998219542FaceWashandCleanser1.jpg"
558,cleanser,https://www.myntra.com/face-wash-and-cleanser/bioderma/bioderma-sebium-gel-moussant-face-wash-200-ml/2138160/buy,bioderma,sebium gel moussant face wash 200 ml,₹ 1575,sensitive,"acne,blemishes,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2138160/2022/10/13/3d2b9d82-c927-4e6f-b093-d3ed44aecb071665641040589-BIODERMA-Sebium-Gel-Moussant-Face-Wash-for-CombinationOily-S-1.jpg"
559,cleanser,https://www.myntra.com/face-wash-and-cleanser/beardo/beardo-men-set-of-de-tan-face-wash--face-gel/13538724/buy,beardo,men set of de-tan face wash & face gel,₹ 383,all,"tan removal,deep nourishment,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13538724/2021/2/1/06e876f9-a7a8-4925-b4a7-b32a9260f9561612178427834BEARDOMenSetofDe-TanFaceWashFaceGel1.jpg"
560,cleanser,https://www.myntra.com/face-wash-and-cleanser/loreal/loreal-paris-set-of-perfect-milky-sustainable-facial-foam--revitalift-crystal-face-serum/14464488/buy,loreal,paris set of perfect milky sustainable facial foam & revitalift crystal face serum,₹ 447,all,"uneven skin tone,dark spots,pore care","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14464488/2021/6/11/e35fef90-c32f-4b8d-a2b9-eda07adb62541623405519265LOrealParisSetOfPerfectMilkySustainableFacialFoamRevitaliftC1.jpg"
561,cleanser,https://www.myntra.com/face-wash-and-cleanser/minimalist/minimalist-2-salicylic-acid-face-wash-with-lha-100-ml/14669014/buy,minimalist,2% salicylic acid face wash with lha 100 ml,₹ 299,all,"excess oil,pore care,acne,blemishes","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14669014/2023/9/6/12adc15e-a720-48e0-a32e-4292b4f694431693992394603-Minimalist-2-Salicylic-Acid-Face-Wash-With-LHA-100-ml-181169-1.jpg"
562,cleanser,https://www.myntra.com/face-wash-and-cleanser/organic-harvest/organic-harvest-vitamin-c-face-cleanser-100-ml/14719806/buy,organic harvest,vitamin c face cleanser 100 ml,₹ 445,all,"pore care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/14719806/2023/1/31/893ed748-2f5c-4081-8f27-d7edb275bca01675156800256-Organic-Harvest-Vitamin-C-Face-Cleanser-100-ml-2616751567994-1.jpg"
563,cleanser,https://www.myntra.com/face-wash-and-cleanser/havintha/havintha-natural-aloe-vera-powder-for-hair--face/15386566/buy,havintha,natural aloe vera powder for hair & face,₹ 299,dry,"fine lines,wrinkles,skin inflammation,acne,blemishes","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15386566/2021/9/7/a108704f-c14d-4327-a578-2ec4ef3be1851630998492784HavinthaNaturalAloeveraPowderforHairGrowthFaceWash1.jpg"
564,cleanser,https://www.myntra.com/face-wash-and-cleanser/himalaya/himalaya-set-of-2-face-wash--face-scrub-set/7094582/buy,himalaya,set of 2 face wash & face scrub set,₹ 266,normal,"acne,blemishes,general care,pigmentation","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/7094582/2020/4/20/9a0ab720-07fb-485a-a1bb-1f92a6d9bbaa1587386806459-Himalaya-Unisex-Face-Wash--Face-Scrub-Set-3341587386805834-1.jpg"
565,cleanser,https://www.myntra.com/face-wash-and-cleanser/taavi/taavi-unisex-natreal-purifying-apple-cider-vinegar-face-wash-210-ml/13454650/buy,taavi,unisex natreal purifying apple cider vinegar face wash 210 ml,₹ 149,all,"general care,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13454650/2021/2/2/0ed8649b-3f8b-45e2-8ca5-b6dbe8f6f0f81612243823073-Natural-Face-wash-Apple-Cider-Vinegar-2341612243820740-1.jpg"
566,cleanser,https://www.myntra.com/face-wash-and-cleanser/the-man-company/the-man-company-charcoal-ylang-ylang--argan-face-wash-100-ml/2111929/buy,the man company,charcoal ylang-ylang & argan face wash 100 ml,₹ 247,all,"acne,blemishes,uneven skin tone,pore care","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2111929/2022/7/6/7c87e368-2d0d-4aaa-8c78-fcbe3e1e5e041657090175678-THE-MAN-COMPANY-Charcoal-Ylang-Ylang--Argan-Face-Wash-100-ml-1.jpg"
567,mask-and-peel,https://www.myntra.com/mask-and-peel/garnier/garnier-women-hydra-bomb-green-tea-serum-mask/8119103/buy,garnier,women hydra bomb green tea serum mask,₹ 58,all,"dull skin,hydration,daily use","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8119103/2023/7/3/7fca1bfd-5070-40da-bd64-3e04f744c4bc1688382138138GarnierWomenHydraBombGreenTeaSerumMaskwithGlycerin-28g1.jpg"
568,mask-and-peel,https://www.myntra.com/mask-and-peel/lakme/lakme-blush--glow-lemon-sheet-mask-20-ml/11523460/buy,lakme,blush & glow lemon sheet mask 20 ml,₹ 80,all,"dryness,daily use,","https://assets.myntassets.com/h_1136,q_90,w_852/v1/assets/images/11523460/2021/3/8/a1f31c27-44b0-4703-a1b1-347a1209597b1615190770567-Lakme-Women-Mask-and-Peel-7191615190770216-1.jpg"
569,mask-and-peel,https://www.myntra.com/mask-and-peel/biotique/biotique-bio-fruit-whitening-depigmentation--tan-removal-sustainable-face-pack-100-g/8974027/buy,biotique,"bio fruit whitening, depigmentation & tan removal sustainable face pack 100 g",₹ 82,all,"pigmentation,uneven skin tone,pore care","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/8974027/2024/2/29/5eb468ab-829a-4f29-9400-3e2026fd82a51709198477867-Biotique-Bio-Fruit-Whitening-Depigmentation--Tan-Removal-Sus-1.jpg"
570,mask-and-peel,https://www.myntra.com/mask-and-peel/mamaearth/mamaearth-ubtan-skin-lightening--brightening-sustainable-face-mask-100-ml/11081548/buy,mamaearth,ubtan skin lightening & brightening sustainable face mask 100 ml,₹ 449,all,"oily skin,,","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11081548/2022/5/25/7676ff2d-65b5-4449-8d72-1a99a848a9901653465454989MamaearthUbtanSkinLighteningBrighteningSustainableFaceMask101.jpg"
